step_atr_mult,hours,lot_mult,max_levels,basket_sl_usd,tp_pips,risk_scale,max_basket_hours,vol_filter,net,usd_per_hour,max_dd_usd,max_dd_pct,ruined_at,stopouts,baskets_closed,sl_hits,tp_hits,time_hits,worst_basket,max_lots
1.5,12-21,1.2,6,150,6,False,168,False,-1000.0,-0.0223,1001.92,100.0,2013-10-18 15:00:00,4,1339,4,1318,13,-165.98,0.1
0.5,12-21,1.0,4,150,10,False,72,False,-1000.0,-0.0223,1024.89,100.0,2014-09-17 16:00:00,2,2658,1,2530,125,-160.22,0.08
2.0,12-21,1.0,4,150,6,True,72,False,-1000.0,-0.0223,1014.78,100.0,2013-12-18 20:00:00,3,1847,0,1778,66,-94.25,0.07
2.0,all,1.2,4,60,6,True,24,False,-1000.0,-0.0223,1006.08,100.0,2013-10-08 11:00:00,3,2777,1,2553,220,-62.53,0.06
1.5,all,1.0,3,60,6,False,72,False,-1000.0,-0.0223,1020.32,100.0,2013-09-24 10:00:00,5,2172,13,2096,58,-81.64,0.06
1.5,12-21,1.0,6,250,10,False,24,True,-1000.0,-0.0223,1005.82,100.0,2015-06-16 12:00:00,4,4087,0,3657,426,-100.13,0.07
0.5,all,1.2,6,100,10,False,168,False,-1000.0,-0.0223,1044.53,100.0,2013-06-06 17:00:00,3,1036,19,1010,4,-140.79,0.12
1.0,12-21,1.0,6,250,6,True,72,False,-1000.0,-0.0223,1029.23,100.0,2013-10-04 15:00:00,5,1661,0,1609,47,-118.93,0.1
1.0,12-21,1.0,6,150,6,True,24,False,-1000.0,-0.0223,1012.73,100.0,2013-10-23 16:00:00,5,2036,0,1893,138,-87.83,0.08
1.5,12-21,1.0,6,250,6,True,72,True,-1000.0,-0.0223,1015.78,100.0,2014-04-11 13:00:00,4,2172,0,2101,67,-91.68,0.09
1.5,all,1.2,3,250,10,True,24,False,-1000.0,-0.0223,1032.72,100.0,2015-09-23 17:00:00,2,7403,0,6659,742,-71.54,0.06
