final_equity,net,usd_per_hour,usd_per_hour_first_year,max_dd_usd,max_dd_pct,min_equity,ruined_at,stopouts,baskets_closed,sl_hits,tp_hits,max_lots,max_positions,worst_basket,trend_filter,step_pips,max_levels,basket_sl_usd,tp_pips,base_lot,sym,ok
0.0,-1000.0,-0.0223,-0.0661,1001.77,100.0,0.0,2015-06-02 11:00:00,2,1436,9,1425,0.06,3,-278.14,400,40,3,250,10,0.01,GBPUSD,False
0.0,-1000.0,-0.0223,-0.0739,1006.25,100.0,0.0,2015-07-14 12:00:00,3,2594,42,2549,0.08,5,-131.88,400,40,5,80,10,0.01,GBPUSD,False
0.0,-1000.0,-0.0223,-0.0725,1006.25,100.0,0.0,2015-07-10 13:00:00,2,2390,23,2365,0.1,5,-168.36,400,40,5,150,10,0.01,GBPUSD,False
0.0,-1000.0,-0.0223,-0.1142,1006.25,100.0,0.0,2013-08-23 15:00:00,4,628,6,618,0.1,5,-279.47,400,40,5,250,10,0.01,GBPUSD,False
0.0,-1000.0,-0.0223,-0.0756,1006.25,100.0,0.0,2015-07-02 03:00:00,9,2554,41,2504,0.09,6,-131.88,400,40,8,80,10,0.01,GBPUSD,False
0.0,-1000.0,-0.0223,-0.0639,1008.6,100.0,0.0,2014-10-15 14:00:00,4,1680,17,1659,0.11,8,-197.36,400,40,8,150,10,0.01,GBPUSD,False
0.0,-1000.0,-0.0223,-0.1142,1008.6,100.0,0.0,2013-06-04 01:00:00,6,495,5,484,0.13,8,-302.32,400,40,8,250,10,0.01,GBPUSD,False
0.0,-1000.0,-0.0223,-0.0454,1004.88,100.0,0.0,2015-09-22 19:00:00,3,2348,39,2306,0.06,3,-129.72,400,60,3,80,10,0.01,GBPUSD,False
0.0,-1000.0,-0.0223,-0.052,1004.88,100.0,0.0,2015-07-08 13:00:00,2,1785,17,1766,0.06,3,-169.46,400,60,3,150,10,0.01,GBPUSD,False
0.0,-1000.0,-0.0223,-0.0323,1004.88,100.0,0.0,2016-06-24 02:00:00,1,1922,11,1910,0.06,3,-274.38,400,60,3,250,10,0.01,GBPUSD,False
