final_equity,net,usd_per_hour,usd_per_hour_first_year,max_dd_usd,max_dd_pct,min_equity,ruined_at,stopouts,baskets_closed,sl_hits,tp_hits,max_lots,max_positions,worst_basket,trend_filter,step_pips,max_levels,basket_sl_usd,tp_pips,base_lot,sym,ok
0.0,-1000.0,-0.0223,-0.0346,1027.64,100.0,0.0,2015-02-04 17:00:00,2,3046,56,2988,0.14,8,-162.14,50,15,8,80,10,0.01,EURUSD,False
0.0,-1000.0,-0.0223,-0.0532,1027.64,100.0,0.0,2015-01-16 17:00:00,1,2754,29,2724,0.15,8,-245.31,50,15,8,150,10,0.01,EURUSD,False
0.0,-1000.0,-0.0223,-0.0225,1185.02,100.0,0.0,2015-02-04 17:00:00,3,2321,15,2303,0.16,8,-292.74,50,15,8,250,10,0.01,EURUSD,False
0.0,-1000.0,-0.0223,-0.0259,1009.7,100.0,0.0,2015-06-09 10:00:00,1,2745,47,2697,0.06,3,-118.58,50,25,3,80,10,0.01,EURUSD,False
0.0,-1000.0,-0.0223,-0.0241,1007.99,100.0,0.0,2016-02-10 10:00:00,4,2276,23,2249,0.06,3,-163.02,50,25,3,150,10,0.01,EURUSD,False
0.0,-1000.0,-0.0223,-0.0494,1020.81,100.0,0.0,2015-05-08 01:00:00,1,3115,52,3062,0.09,5,-174.5,50,25,5,80,10,0.01,EURUSD,False
0.0,-1000.0,-0.0223,-0.0624,1020.81,100.0,0.0,2015-03-19 03:00:00,3,2453,24,2426,0.1,5,-176.18,50,25,5,150,10,0.01,EURUSD,False
0.0,-1000.0,-0.0223,-0.0451,1020.81,100.0,0.0,2015-03-18 20:00:00,1,1706,11,1694,0.1,5,-292.03,50,25,5,250,10,0.01,EURUSD,False
0.0,-1000.0,-0.0223,-0.0623,1020.81,100.0,0.0,2015-03-20 18:00:00,1,2914,49,2864,0.1,7,-174.5,50,25,8,80,10,0.01,EURUSD,False
0.0,-1000.0,-0.0223,-0.0442,1020.81,100.0,0.0,2015-01-02 09:00:00,2,2377,23,2352,0.13,8,-219.85,50,25,8,150,10,0.01,EURUSD,False
0.0,-1000.0,-0.0223,-0.0855,1020.81,100.0,0.0,2014-01-09 11:00:00,5,1270,9,1256,0.16,8,-305.53,50,25,8,250,10,0.01,EURUSD,False
0.0,-1000.0,-0.0223,-0.0327,1019.61,100.0,0.0,2015-06-05 05:00:00,4,2659,44,2611,0.06,3,-118.58,50,40,3,80,10,0.01,EURUSD,False
0.0,-1000.0,-0.0223,-0.0344,1019.61,100.0,0.0,2015-07-23 18:00:00,3,1870,19,1848,0.06,3,-157.8,50,40,3,150,10,0.01,EURUSD,False
0.0,-1000.0,-0.0223,-0.042,1019.61,100.0,0.0,2015-06-29 00:00:00,0,3003,47,2956,0.09,5,-162.02,50,40,5,80,10,0.01,EURUSD,False
0.0,-1000.0,-0.0223,-0.0566,1019.61,100.0,0.0,2015-02-03 20:00:00,1,1963,19,1943,0.1,5,-176.96,50,40,5,150,10,0.01,EURUSD,False
0.0,-1000.0,-0.0223,-0.0305,1088.16,100.0,0.0,2015-06-29 00:00:00,2,2006,12,1992,0.1,5,-270.41,50,40,5,250,10,0.01,EURUSD,False
0.0,-1000.0,-0.0223,-0.0427,1019.61,100.0,0.0,2015-06-29 09:00:00,1,3017,47,2969,0.09,6,-162.02,50,40,8,80,10,0.01,EURUSD,False
0.0,-1000.0,-0.0223,-0.0692,1019.61,100.0,0.0,2015-03-18 22:00:00,0,2291,22,2269,0.11,8,-223.68,50,40,8,150,10,0.01,EURUSD,False
0.0,-1000.0,-0.0223,-0.1142,1155.82,100.0,0.0,2013-11-07 14:00:00,1,985,8,976,0.13,8,-289.64,50,40,8,250,10,0.01,EURUSD,False
0.0,-1000.0,-0.0223,-0.0286,1007.99,100.0,0.0,2016-06-24 10:00:00,1,3387,51,3335,0.06,3,-128.69,50,60,3,80,10,0.01,EURUSD,False
0.0,-1000.0,-0.0223,-0.0286,1007.99,100.0,0.0,2015-06-04 16:00:00,2,1651,16,1633,0.06,3,-184.36,50,60,3,150,10,0.01,EURUSD,False
0.0,-1000.0,-0.0223,-0.031,1007.99,100.0,0.0,2015-06-29 20:00:00,1,2598,40,2557,0.07,5,-134.82,50,60,5,80,10,0.01,EURUSD,False
